Hashtag,item_id,TikTok Link,Start Week Day,End Week Day,Video views,Engagement rate,Like count,Comment count,Share count,brand,audio_path,transcription
bugattichiron,7443430790769200392,https://www.tiktok.com/@kcars_/video/7443430790769200392,2024-11-25 00:00:00,2025-05-25 00:00:00,8547294,0.21650056731405284,1701922,11249,137323,bugatti,data/bugatti/7443430790769200392.mp3, music
bugattichiron,7440895350363180309,https://www.tiktok.com/@jacobandco/video/7440895350363180309,2024-11-18 00:00:00,2025-05-25 00:00:00,8080215,0.05008579598438903,395732,2197,6775,bugatti,data/bugatti/7440895350363180309.mp3," I love the car, what do you do for a living? Hey, me, I'm Jacob. Jacob and Co. The founder of Jacob and Co. Yo, that's amazing. How much is your watch? 1.5 million. 1.5 million? Dollars, it's the one of one. Yes, sir, one of one. Man, I love it. Keep it up, honestly. Thank you so much."
bugattichiron,7424429150057844000,https://www.tiktok.com/@omid_hypercars/video/7424429150057844000,2024-10-07 00:00:00,2025-04-13 00:00:00,6800099,0.03757445296017014,254029,514,967,bugatti,data/bugatti/7424429150057844000.mp3," 900! 900, sogar besser! Danke, Sir! 900.950! 1.000.000! 1.000.000 Bid! 1.000.000 Bid! In der Ruh! Herzschlag ist da! 1.015! 1.1! 1.1! Danke! 1.1! Er ist dich betrachten! 1.150! Keine Worte. Wir sind 50. 1.150! Das sind nur noch er und wir, ne? Da ist er! 1.150!"
bugattichiron,7410825202000547093,https://www.tiktok.com/@drivttx/video/7410825202000547093,2024-09-02 00:00:00,2025-05-25 00:00:00,5038014,0.0299502939054953,141746,1148,7996,bugatti,data/bugatti/7410825202000547093.mp3, � ponytail Kyle southern belt වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව
bugattichiron,7490948226145668374,https://www.tiktok.com/@carspott_kga.msk/video/7490948226145668374,2025-04-07 00:00:00,2025-05-25 00:00:00,5021139,0.09784652446387164,415309,5331,70661,bugatti,data/bugatti/7490948226145668374.mp3, You
bugattichironpursport,7443430790769200392,https://www.tiktok.com/@kcars_/video/7443430790769200392,2024-11-25 00:00:00,2025-05-25 00:00:00,8580247,0.21595835178171444,1704267,11272,137437,bugatti,data/bugatti/7443430790769200392.mp3,".."""
bugattichironpursport,7441947000364371220,https://www.tiktok.com/@kcars_/video/7441947000364371220,2024-11-25 00:00:00,2025-05-25 00:00:00,3439731,0.22024483891327548,700464,4013,53106,bugatti,data/bugatti/7441947000364371220.mp3, YOU You
bugattichironpursport,7497239569222438151,https://www.tiktok.com/@kcars_/video/7497239569222438151,2025-04-21 00:00:00,2025-05-25 00:00:00,2381216,0.23097358660449116,511348,2492,36158,bugatti,data/bugatti/7497239569222438151.mp3, us
bugattichironpursport,7442690816226725128,https://www.tiktok.com/@kcars_/video/7442690816226725128,2024-11-25 00:00:00,2025-05-25 00:00:00,1953960,0.21969948207742226,395710,2391,31183,bugatti,data/bugatti/7442690816226725128.mp3, I
bugattichironpursport,7476827854932626706,https://www.tiktok.com/@kcars_/video/7476827854932626706,2025-02-24 00:00:00,2025-05-25 00:00:00,1816197,0.20586588349171372,350840,1382,21671,bugatti,data/bugatti/7476827854932626706.mp3, Streetimasen
bugattichironsupersport,7463620724096371976,https://www.tiktok.com/@cf.cars1/video/7463620724096371976,2025-01-20 00:00:00,2025-05-25 00:00:00,4307083,0.16556890127262466,671457,1710,39952,bugatti,data/bugatti/7463620724096371976.mp3, algo me dice que yo estoy en lo correcto que a mi estroa no requiere de tu texto yo vengo puesta a imbachar no el resto aunque sea tóxico como el apreto a tu canal me siento ni se me conecto esto es amor puedo verlo de tech
bugattichironsupersport,7425940152041671968,https://www.tiktok.com/@cxrspotter/video/7425940152041671968,2024-10-14 00:00:00,2025-05-25 00:00:00,2185481,0.14960551018288423,313661,1530,11769,bugatti,data/bugatti/7425940152041671968.mp3, Some crazy buddhist voice over and all credibility and
bugattichironsupersport,7416033349170367745,https://www.tiktok.com/@shanghai9998/video/7416033349170367745,2024-09-16 00:00:00,2025-05-25 00:00:00,1819084,0.02979851397736443,52900,412,894,bugatti,data/bugatti/7416033349170367745.mp3,
bugattichironsupersport,7426404011831594258,https://www.tiktok.com/@am.spot1/video/7426404011831594258,2024-10-14 00:00:00,2025-05-25 00:00:00,1706074,0.1392038094478903,225865,878,10749,bugatti,data/bugatti/7426404011831594258.mp3, ស្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្�
bugattichironsupersport,7449102184169409808,https://www.tiktok.com/@shanghai9998/video/7449102184169409808,2024-12-16 00:00:00,2025-05-25 00:00:00,868335,0.03614964270701976,30739,254,397,bugatti,data/bugatti/7449102184169409808.mp3," I'm just gonna say, oh yeah, yeah, like a fuckin' chip Ain't time to be a man"
bugattidivo,7422653395535711520,https://www.tiktok.com/@cxrspotter/video/7422653395535711520,2024-09-30 00:00:00,2025-05-25 00:00:00,5478862,0.18461680546069603,943338,4856,63296,bugatti,data/bugatti/7422653395535711520.mp3, Welcome back to music 000
bugattidivo,7453212375265660166,https://www.tiktok.com/@bugattis.hypercar/photo/7453212375265660166,2024-12-23 00:00:00,2025-05-25 00:00:00,3272615,0.2122626706777302,645088,6339,43227,bugatti,data/bugatti/7453212375265660166.mp3,
bugattidivo,7416383941508140308,https://www.tiktok.com/@raciety/video/7416383941508140308,2024-09-16 00:00:00,2025-05-25 00:00:00,1640119,0.16897676327144553,253440,1013,22689,bugatti,data/bugatti/7416383941508140308.mp3, scarf and
