,Unnamed: 0.1,Unnamed: 0,Hashtag,item_id,TikTok Link,Start Week Day,End Week Day,Video views,Engagement rate,Like count,Comment count,Share count,brand,audio_path,transcription,size,translated,polarity,sentiment_label,subjectivity
0,0,0,bugattichiron,7.4434307907692e+18,https://www.tiktok.com/@kcars_/video/7443430790769200392,2024-11-25 00:00:00,2025-05-25 00:00:00,8547294,0.216500567314053,1701922,11249,137323,bugatti,data/bugatti/7443430790769200392.mp3,music,5,music,0.0,neutral,0.0
1,1,1,bugattichiron,7.44089535036318e+18,https://www.tiktok.com/@jacobandco/video/7440895350363180309,2024-11-18 00:00:00,2025-05-25 00:00:00,8080215,0.050085795984389,395732,2197,6775,bugatti,data/bugatti/7440895350363180309.mp3,"I love the car, what do you do for a living? Hey, me, I'm Jacob. Jacob and Co. The founder of Jacob and Co. Yo, that's amazing. How much is your watch? 1.5 million. 1.5 million? Dollars, it's the one of one. Yes, sir, one of one. Man, I love it. Keep it up, honestly. Thank you so much.",286,"I love the car, what do you do for a living? Hey, me, I'm Jacob. Jacob and Co. The founder of Jacob and Co. Yo, that's amazing. How much is your watch? 1.5 million. 1.5 million? Dollars, it's the one of one. Yes, sir, one of one. Man, I love it. Keep it up, honestly. Thank you so much.",0.43333333333333335,positive,0.5666666666666667
2,2,2,bugattichiron,7.42442915005784e+18,https://www.tiktok.com/@omid_hypercars/video/7424429150057844000,2024-10-07 00:00:00,2025-04-13 00:00:00,6800099,0.0375744529601701,254029,514,967,bugatti,data/bugatti/7424429150057844000.mp3,"900! 900, sogar besser! Danke, Sir! 900.950! 1.000.000! 1.000.000 Bid! 1.000.000 Bid! In der Ruh! Herzschlag ist da! 1.015! 1.1! 1.1! Danke! 1.1! Er ist dich betrachten! 1.150! Keine Worte. Wir sind 50. 1.150! Das sind nur noch er und wir, ne? Da ist er! 1.150!",261,"900! 900, even better! Thanks, Sir! 900.950! 1,000,000! 1,000,000 BID! 1,000,000 BID! In the rest! Heartbeat is there! 1.015! 1.1! 1.1! Thanks! 1.1! He is looking at you! 1,150! No words. We are 50. 1,150! That's just him and we, right? There he is! 1,150!",0.6704450334821428,positive,0.3589285714285714
3,3,3,bugattichiron,7.41082520200055e+18,https://www.tiktok.com/@drivttx/video/7410825202000547093,2024-09-02 00:00:00,2025-05-25 00:00:00,5038014,0.0299502939054953,141746,1148,7996,bugatti,data/bugatti/7410825202000547093.mp3,� ponytail Kyle southern belt වවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවවව,141,� ponytail kyle southern belt Violated from approved by approaching approved by approaching approved by approaching approved by approaching,0.0,neutral,0.0
4,4,4,bugattichiron,7.49094822614567e+18,https://www.tiktok.com/@carspott_kga.msk/video/7490948226145668374,2025-04-07 00:00:00,2025-05-25 00:00:00,5021139,0.0978465244638716,415309,5331,70661,bugatti,data/bugatti/7490948226145668374.mp3,You,3,You,0.0,neutral,0.0
5,6,6,bugattichironpursport,7.44194700036437e+18,https://www.tiktok.com/@kcars_/video/7441947000364371220,2024-11-25 00:00:00,2025-05-25 00:00:00,3439731,0.220244838913275,700464,4013,53106,bugatti,data/bugatti/7441947000364371220.mp3,YOU You,7,YOU You,0.0,neutral,0.0
6,7,7,bugattichironpursport,7.49723956922244e+18,https://www.tiktok.com/@kcars_/video/7497239569222438151,2025-04-21 00:00:00,2025-05-25 00:00:00,2381216,0.230973586604491,511348,2492,36158,bugatti,data/bugatti/7497239569222438151.mp3,us,2,us,0.0,neutral,0.0
7,8,8,bugattichironpursport,7.44269081622673e+18,https://www.tiktok.com/@kcars_/video/7442690816226725128,2024-11-25 00:00:00,2025-05-25 00:00:00,1953960,0.219699482077422,395710,2391,31183,bugatti,data/bugatti/7442690816226725128.mp3,I,1,I,0.0,neutral,0.0
8,9,9,bugattichironpursport,7.47682785493263e+18,https://www.tiktok.com/@kcars_/video/7476827854932626706,2025-02-24 00:00:00,2025-05-25 00:00:00,1816197,0.205865883491714,350840,1382,21671,bugatti,data/bugatti/7476827854932626706.mp3,Streetimasen,12,Streetimasen,0.0,neutral,0.0
9,10,10,bugattichironsupersport,7.46362072409637e+18,https://www.tiktok.com/@cf.cars1/video/7463620724096371976,2025-01-20 00:00:00,2025-05-25 00:00:00,4307083,0.165568901272625,671457,1710,39952,bugatti,data/bugatti/7463620724096371976.mp3,algo me dice que yo estoy en lo correcto que a mi estroa no requiere de tu texto yo vengo puesta a imbachar no el resto aunque sea tóxico como el apreto a tu canal me siento ni se me conecto esto es amor puedo verlo de tech,223,Something tells me that I am in the right thing that I do not require your text I come to imbachar not the rest even if it is toxic as the tightening of your channel I feel or connected this is love I can see it of Tech,0.39285714285714285,positive,0.5678571428571428
10,11,11,bugattichironsupersport,7.42594015204167e+18,https://www.tiktok.com/@cxrspotter/video/7425940152041671968,2024-10-14 00:00:00,2025-05-25 00:00:00,2185481,0.149605510182884,313661,1530,11769,bugatti,data/bugatti/7425940152041671968.mp3,Some crazy buddhist voice over and all credibility and,54,Some crazy buddhist voice over and all credibility and,-0.6,negative,0.9
11,12,13,bugattichironsupersport,7.42640401183159e+18,https://www.tiktok.com/@am.spot1/video/7426404011831594258,2024-10-14 00:00:00,2025-05-25 00:00:00,1706074,0.13920380944789,225865,878,10749,bugatti,data/bugatti/7426404011831594258.mp3,ស្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្្�,75,Your right after yours,0.2857142857142857,positive,0.5357142857142857
12,13,14,bugattichironsupersport,7.44910218416941e+18,https://www.tiktok.com/@shanghai9998/video/7449102184169409808,2024-12-16 00:00:00,2025-05-25 00:00:00,868335,0.0361496427070197,30739,254,397,bugatti,data/bugatti/7449102184169409808.mp3,"I'm just gonna say, oh yeah, yeah, like a fuckin' chip Ain't time to be a man",77,"I'm just gonna say, oh yeah, yeah, like a fuckin' chip Ain't time to be a man",0.0,neutral,0.0
13,14,15,bugattidivo,7.42265339553571e+18,https://www.tiktok.com/@cxrspotter/video/7422653395535711520,2024-09-30 00:00:00,2025-05-25 00:00:00,5478862,0.184616805460696,943338,4856,63296,bugatti,data/bugatti/7422653395535711520.mp3,Welcome back to music 000,25,Welcome back to music 000,0.4,positive,0.45
14,15,17,bugattidivo,7.41638394150814e+18,https://www.tiktok.com/@raciety/video/7416383941508140308,2024-09-16 00:00:00,2025-05-25 00:00:00,1640119,0.168976763271446,253440,1013,22689,bugatti,data/bugatti/7416383941508140308.mp3,scarf and,9,scarf and,0.0,neutral,0.0
